rsp,Busy hour trimmed mean download speed,Busy hour trimmed mean upload speed,Busy hour trimmed mean latency,Average daily outages
Launtel,614.46,39.76,8.56,0.19
Superloop,499.75,36.24,6.78,0.13
Other RSPs,498.68,34.04,13.51,1.31
Leaptel,476.26,33.43,8.04,0.09
Aussie Broadband,409.18,31.79,8.69,0.18
Starlink,186.89,30.19,32.21,0.24
Exetel,123.43,22.34,8.29,0.26
Unknown,106.52,13.15,160.63,0.22
Telstra,102.8,17.62,9.94,0.12
Dodo & iPrimus,102.59,19.08,10.48,0.15
TPG,91.61,17.1,9.15,0.15
Vodafone,90.3,17.47,9.08,0.15
iiNet,89.94,19.99,11.88,0.25
Optus,87.56,21.14,9.94,0.11
